SampleTimeUTC,Avg_PLT_CO2VentRate_TPH,Avg_CCS1_WHCO2InjPs_psi,Avg_CCS1_WHCO2InjTp_F,Avg_CCS1_ANPs_psi,Avg_CCS1_DH6325Ps_psi,Avg_CCS1_DH6325Tp_F,Avg_VW1_WBTbgPs_psi,Avg_VW1_Z05D6720Ps_psi,inj_diff
2009-10-01 00:00:00,20.54322052,700.6056386,59.40087875,149.0978279,3006.236123,117.5479186,2173.710958,3052.416044,0.0
2009-10-01 01:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.762679,3052.394926,0.0
2009-10-01 02:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.754085,3052.36404,0.0
2009-10-01 03:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.734355,3052.358177,0.0
2009-10-01 04:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.738489,3052.367251,0.0
2009-10-01 05:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.692316,3052.33254,0.0
2009-10-01 06:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.683197,3052.286365,0.0
2009-10-01 07:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.705924,3052.302287,0.0
2009-10-01 08:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.752083,3052.280039,0.0
2009-10-01 09:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.731586,3052.290125,0.0
2009-10-01 10:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.734041,3052.273403,0.0
2009-10-01 11:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.747994,3052.258101,0.0
2009-10-01 12:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.729913,3052.299951,0.0
2009-10-01 13:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.724058,3052.331217,0.0
2009-10-01 14:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.797119,3052.340792,0.0
2009-10-01 15:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.773535,3052.3231,0.0
2009-10-01 16:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.751544,3052.330585,0.0
2009-10-01 17:00:00,20.54322052,700.6056386,62.57189951,149.0978279,3006.236123,117.5479186,2173.711003,3052.305845,0.0
2009-10-01 18:00:00,20.54322052,700.6056386,65.3979489,149.0978279,3006.236123,117.5479186,2173.735205,3052.273531,0.0
2009-10-01 19:00:00,20.54322052,700.6056386,67.03637721,149.0978279,3006.236123,117.5479186,2173.742969,3052.262878,0.0
2009-10-01 20:00:00,20.54322052,700.6056386,67.90429688,149.0978279,3006.236123,117.5479186,2173.696507,3052.233614,0.0
2009-10-01 21:00:00,20.54322052,700.6056386,67.65271047,149.0978279,3006.236123,117.5479186,2173.663692,3052.247357,0.0
2009-10-01 22:00:00,20.54322052,700.6056386,65.90844796,149.0978279,3006.236123,117.5479186,2173.671153,3052.253943,0.0
2009-10-01 23:00:00,20.54322052,700.6056386,62.11376956,149.0978279,3006.236123,117.5479186,2173.643414,3052.287693,0.0
2009-10-02 00:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.644478,3052.306948,0.0
2009-10-02 01:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.621444,3052.274082,0.0
2009-10-02 02:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.580418,3052.256258,0.0
2009-10-02 03:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.56394,3052.231814,0.0
2009-10-02 04:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.571847,3052.237781,0.0
2009-10-02 05:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.586088,3052.29527,0.0
2009-10-02 06:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.578689,3052.232758,0.0
2009-10-02 07:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.620046,3052.230971,0.0
2009-10-02 08:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.606085,3052.222422,0.0
2009-10-02 09:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.595559,3052.232872,0.0
2009-10-02 10:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.634654,3052.245658,0.0
2009-10-02 11:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.658362,3052.255426,0.0
2009-10-02 12:00:00,20.54322052,700.6056386,59.22305962,149.0978279,3006.236123,117.5479186,2173.633936,3052.285386,0.0
